column_name,question_short_es,question_short_en,question_es,question_en,category_short_en,category_short_es,responses_en,responses_en_rec,responses_es,question_en_comp
a4_econ,El problema más importante,Most Important Problem: Economy,"En su opinión ¿cuál es el problema más grave que está enfrentando el país? (No leer alternativas,  Aceptar solo una respuesta)","In your opinion, what is the most serious problem faced by the country? (Don't read alternatives; Accept on one response)",Evaluations,Evaluaciones,[open ended],"[open ended - recoded by interviewer.  ""Economy"" includes answers such as unemployment, inflation, poverty]",,"In your opinion, what is the most serious problem faced by the country? [open ended; responses recoded into four categories: economy, politics, security, or other]"
a4_security,El problema más importante,Most Important Problem: Security,"En su opinión ¿cuál es el problema más grave que está enfrentando el país? (No leer alternativas,  Aceptar solo una respuesta)","In your opinion, what is the most serious problem faced by the country? (Don't read alternatives; Accept on one response)",Evaluations,Evaluaciones,[open ended],"[open ended - recoded by interviewer.  ""Security"" includes answers such as crime, gangs, security]",,"In your opinion, what is the most serious problem faced by the country? [open ended; responses recoded into four categories: economy, politics, security, or other]"
a4_politics,El problema más importante,Most Important Problem: Politics,"En su opinión ¿cuál es el problema más grave que está enfrentando el país? (No leer alternativas,  Aceptar solo una respuesta)","In your opinion, what is the most serious problem faced by the country? (Don't read alternatives; Accept on one response)",Evaluations,Evaluaciones,[open ended],"[open ended - recoded by interviewer.  ""Security"" includes answers such as politicians, corruption, terrorism]",,"In your opinion, what is the most serious problem faced by the country? [open ended; responses recoded into four categories: economy, politics, security, or other]"
a4_other,El problema más importante,Most Important Problem: Other,"En su opinión ¿cuál es el problema más grave que está enfrentando el país? (No leer alternativas,  Aceptar solo una respuesta)","In your opinion, what is the most serious problem faced by the country? (Don't read alternatives; Accept on one response)",Evaluations,Evaluaciones,[open ended],"[open ended - recoded by interviewer.  ""Security"" includes answers such as healthcare, coronavirus, drug addiction]",,"In your opinion, what is the most serious problem faced by the country? [open ended; responses recoded into four categories: economy, politics, security, or other]"
aoj11,Percepción de inseguridad en el vecindario,Perception of Neighborhood Insecurity,"Hablando del lugar o el barrio donde usted vive y pensando en la posibilidad de ser víctima de un asalto o robo, ¿usted se siente muy seguro(a), algo seguro(a), algo inseguro(a) o muy inseguro(a)?","Speaking of the neighborhood where you live and thinking of the possibility of being assaulted or robbed, do you feel very safe, somewhat safe, somewhat unsafe or very unsafe?",Insecurity,Inseguridad,(1) Very safe (2) Somewhat safe (3) Somewhat unsafe (4) Very unsafe,(1) Very unsafe (2) Somewhat unsafe (3) Somewhat safe (4) Very safe,,"Speaking of the neighborhood where you live and thinking of the possibility of being assaulted or robbed, do you feel very safe, somewhat safe, somewhat unsafe or very unsafe? (1) Very unsafe (2) Somewhat unsafe (3) Somewhat safe (4) Very safe"
aoj12,Confianza en que el sistema judicial castigue a culpables,Confidence that Judiciary will Punish the Guilty,"Si usted fuera víctima de un robo o asalto, ¿cuánto confiaría que el sistema judicial castigue al culpable? Confiaría...",If you were a victim of a robbery or assault how much faith do you have that the judicial system would punish the guilty?,Insecurity,Inseguridad,(1) A lot (2) Some (3) Little (4) None,(1) None (2) Little (3) Some (4) A lot,,If you were a victim of a robbery or assault how much faith do you have that the judicial system would punish the guilty? (1) None (2) Little (3) Some (4) A lot
b1,Cortes garantizan un juicio justo,Courts Guarantee Fair Trial,¿Hasta qué punto cree usted que los tribunales de justicia de [país] garantizan un juicio justo?,To what extent do you think the courts in (country) guarantee a fair trial?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you think the courts in (country) guarantee a fair trial? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
b12,Confianza en las fuerzas armadas,Trust in Armed Forces,¿Hasta qué punto tiene confianza usted en las Fuerzas Armadas?,To what extent do you trust the Armed Forces?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you trust the Armed Forces? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
b13,Confianza en el congreso nacional,Trust in the National Legislature,¿Hasta qué punto tiene confianza usted en el Congreso Nacional?,To what extent do you trust the National Congress?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you trust the National Congress? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
b18,Confianza en la policía nacional,Trust in National Police,¿Hasta qué punto tiene confianza usted en la Policía Nacional?,To what extent do you trust the National Police?,Evaluations,Evaluaciones,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,(1) Not at all (2) (3) (4) (5) (6) (7) A lot,,To what extent do you trust the National Police? (1) Not at all (2) (3) (4) (5) (6) (7) A lot
